"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated"
"1","20141013T000000",221900,3,1,NA,5650,1,0,3,7,1180,0,1955,0
"2","20141209T000000",538000,3,2.25,2570,7242,2,0,3,7,2170,400,1951,1991
"3","20150225T000000",180000,2,1,770,10000,1,0,3,6,770,0,1933,0
"4","20141209T000000",604000,4,3,1960,5000,1,0,5,7,1050,910,1965,0
"5","20150218T000000",510000,3,2,1680,8080,1,0,3,8,1680,0,1987,0
"6","20140512T000000",1230000,4,4.5,5420,101930,1,0,3,11,3890,1530,2001,0
"7","20140627T000000",257500,3,2.25,1715,6819,2,0,3,7,1715,0,1995,0
"8","20150115T000000",291850,3,1.5,1060,9711,1,0,3,7,1060,0,1963,0
"9","20150415T000000",229500,3,1,1780,7470,1,0,3,7,1050,730,1960,0
"10","20150312T000000",323000,3,2.5,NA,6560,2,0,3,7,1890,0,2003,0
"11","20150403T000000",662500,3,2.5,3560,9796,1,0,3,8,1860,1700,1965,0
"12","20140527T000000",468000,2,1,1160,6000,1,0,4,7,860,300,1942,0
"13","20140528T000000",310000,3,1,1430,19901,1.5,0,4,7,1430,0,1927,0
"14","20141007T000000",4e+05,3,1.75,1370,9680,1,0,4,7,1370,0,1977,0
"15","20150312T000000",530000,5,2,1810,4850,1.5,0,3,7,1810,0,1900,0
"16","20150124T000000",650000,4,3,2950,5000,2,0,3,9,1980,970,1979,0
"17","20140731T000000",395000,3,2,1890,14040,2,0,3,7,1890,0,1994,0
"18","20140529T000000",485000,4,1,1600,4300,1.5,0,4,7,1600,0,1916,0
"19","20141205T000000",189000,2,1,1200,9850,1,0,4,7,1200,0,1921,0
"20","20150424T000000",230000,3,1,1250,9774,1,0,4,7,1250,0,1969,0
"21","20140514T000000",385000,4,1.75,1620,4980,1,0,4,7,860,760,1947,0
"22","20140826T000000",2e+06,3,2.75,3050,44867,1,0,3,9,2330,720,1968,0
"23","20140703T000000",285000,5,2.5,2270,6300,2,0,3,8,2270,0,1995,0
"24","20140516T000000",252700,2,1.5,1070,9643,1,0,3,7,1070,0,1985,0
"25","20141120T000000",329000,3,2.25,2450,6500,2,0,4,8,2450,0,1985,0
"26","20141103T000000",233000,3,2,1710,4697,1.5,0,5,6,1710,0,1941,0
"27","20140626T000000",937000,3,1.75,2450,2691,2,0,3,8,1750,700,1915,0
"28","20141201T000000",667000,3,1,1400,1581,1.5,0,5,8,1400,0,1909,0
"29","20140624T000000",438000,3,1.75,1520,6380,1,0,3,7,790,730,1948,0
"30","20150302T000000",719000,4,2.5,2570,7173,2,0,3,8,2570,0,2005,0
"31","20141110T000000",580500,3,2.5,2320,3980,2,0,3,8,2320,0,2003,0
"32","20141201T000000",280000,2,1.5,1190,1265,3,0,3,7,1190,0,2005,0
"33","20140624T000000",687500,4,1.75,2330,5000,1.5,0,4,7,1510,820,1929,0
"34","20141110T000000",535000,3,1,1090,3000,1.5,0,4,8,1090,0,1929,0
"35","20141203T000000",322500,4,2.75,2060,6659,1,0,3,7,1280,780,1981,0
"36","20140613T000000",696000,3,2.5,2300,3060,1.5,0,3,8,1510,790,1930,2002
"37","20140528T000000",550000,4,1,1660,34848,1,0,1,5,930,730,1933,0
"38","20141230T000000",640000,4,2,2360,6000,2,0,4,8,2360,0,1904,0
"39","20150213T000000",240000,4,1,1220,8075,1,0,2,7,890,330,1969,0
"40","20140620T000000",605000,4,2.5,2620,7553,2,0,3,8,2620,0,1996,0
"41","20140715T000000",625000,4,2.5,2570,5520,2,0,3,9,2570,0,2000,0
"42","20140811T000000",775000,4,2.25,4220,24186,1,0,3,8,2600,1620,1984,0
"43","20140707T000000",861990,5,2.75,3595,5639,2,0,3,9,3595,0,2014,0
"44","20141028T000000",685000,3,1,1570,2280,2,0,3,7,1570,0,1922,0
"45","20140729T000000",309000,3,1,1280,9656,1,0,4,6,920,360,1959,0
"46","20140718T000000",488000,3,2.5,3160,13603,2,0,3,8,3160,0,2003,0
"47","20150325T000000",210490,3,1,990,8528,1,0,3,6,990,0,1966,0
"48","20140716T000000",785000,4,2.5,2290,13416,2,0,4,9,2290,0,1981,0
"49","20150428T000000",450000,3,1.75,1250,5963,1,0,4,7,1250,0,1953,0
"50","20150311T000000",1350000,3,2.5,2753,65005,1,1,5,9,2165,588,1953,0
"51","20140916T000000",228000,3,1,1190,9199,1,0,3,7,1190,0,1955,0
"52","20150217T000000",345000,5,2.5,3150,9134,1,0,4,8,1640,1510,1966,0
"53","20141231T000000",6e+05,3,1.75,1410,4080,1,0,4,7,1000,410,1950,0
"54","20150205T000000",585000,2,1.75,1980,8550,1,0,3,7,990,990,1981,0
"55","20150303T000000",920000,5,2.25,2730,6000,1.5,0,3,8,2130,600,1927,0
"56","20140512T000000",885000,4,2.5,2830,5000,2,0,3,9,2830,0,1995,0
"57","20140819T000000",292500,4,2.5,2250,4495,2,0,3,7,2250,0,2008,0
"58","20150407T000000",301000,3,2.5,2420,4750,2,0,3,8,2420,0,2003,0
"59","20140827T000000",951000,5,3.25,3250,14342,2,0,4,8,3250,0,1968,0
"60","20150223T000000",430000,4,3,1850,9976,2,0,3,8,1850,0,1991,0
"61","20141210T000000",650000,3,2.25,2150,21235,1,0,4,8,1590,560,NA,0
"62","20140828T000000",289000,3,1.75,1260,8400,1,0,3,7,1260,0,1954,0
"63","20141021T000000",505000,3,1.75,2519,8690,2,0,5,8,2519,0,1973,0
"64","20141207T000000",549000,3,1.75,1540,1044,3,0,3,8,1540,0,2014,0
"65","20140603T000000",425000,3,2.25,1660,6000,1,0,3,7,1110,550,1979,0
"66","20141120T000000",317625,3,2.75,2770,3809,1.5,0,5,7,1770,1000,1925,0
"67","20140909T000000",975000,4,2.5,2720,11049,2,0,3,10,2720,0,1989,0
"68","20141009T000000",287000,4,2.5,2240,4648,2,0,3,7,2240,0,2005,0
"69","20140825T000000",204000,3,1,1000,12070,1,0,4,7,1000,0,1968,0
"70","20140612T000000",1330000,5,2.25,3200,20158,1,0,3,8,1600,1600,1965,0
"71","20140912T000000",1040000,5,3.25,NA,50094,1,0,4,11,3070,1700,1973,0
"72","20150105T000000",325000,3,2,1260,5612,1,0,4,7,1260,0,1972,0
"73","20140610T000000",571000,4,2,2750,7807,1.5,0,5,7,2250,500,1916,0
"74","20140710T000000",360000,4,2.5,2380,5000,2,0,3,8,2380,0,2005,0
"75","20150316T000000",349000,3,1.75,1790,50529,1,0,5,7,1090,700,1965,0
"76","20141105T000000",832500,4,4,3430,35102,2,0,4,10,2390,1040,1986,0
"77","20141013T000000",380000,4,1.75,1760,7300,1,0,3,7,880,880,1956,0
"78","20150420T000000",480000,3,1,1040,5060,1,0,3,7,1040,0,1941,0
"79","20140609T000000",410000,3,1,1410,5060,1,0,4,7,910,500,1956,0
"80","20150323T000000",720000,4,2.5,3450,39683,2,0,3,10,3450,0,2002,0
"81","20141202T000000",390000,3,2.5,2350,5100,2,0,3,8,2350,0,2003,0
"82","20141222T000000",360000,4,2.5,1900,5889,2,0,3,7,1900,0,1992,0
"83","20141028T000000",355000,2,1,2020,6720,1,0,3,7,1010,1010,NA,0
"84","20150128T000000",356000,3,1.5,1680,8712,1,0,3,8,1680,0,1964,0
"85","20140602T000000",315000,3,1,960,6634,1,0,3,6,960,0,1952,0
"86","20141114T000000",940000,3,1.5,2140,3600,2,0,3,9,1900,240,1925,0
"87","20141103T000000",305000,5,2.25,2660,8400,1.5,0,5,7,2660,0,1961,0
"88","20140618T000000",461000,3,3.25,2770,6278,2,0,3,9,1980,790,2006,0
"89","20140519T000000",215000,2,2.25,1610,2040,2,0,4,7,1610,0,1979,0
"90","20140904T000000",335000,2,1.75,1030,1066,2,0,3,7,765,265,2006,0
"91","20140522T000000",243500,4,2.5,1980,7403,2,0,3,7,1980,0,1988,0
"92","20150311T000000",1100000,5,2.75,3520,6353,2,0,4,10,3520,0,2001,0
"93","20150226T000000",153000,3,1,1200,10500,1,0,3,7,1200,0,1962,0
"94","20140725T000000",430000,3,1.5,1580,5000,1,0,3,8,1290,290,1939,0
"95","20141223T000000",7e+05,3,1.5,1580,5000,1,0,3,8,1290,290,1939,0
"96","20140908T000000",905000,4,2.5,3300,10250,1,0,3,7,2390,910,NA,1991
"97","20150330T000000",247500,3,1.75,1960,15681,1,0,3,7,1960,0,1967,0
"98","20140912T000000",199000,4,1.5,1160,6400,1,0,4,7,1160,0,1975,0
"99","20140711T000000",314000,3,1.75,1810,41800,1,0,5,7,1210,600,1980,0
"100","20140516T000000",437500,3,2.5,2320,36847,2,0,3,9,2320,0,1992,0
"101","20140611T000000",850830,3,2.5,2070,13241,1.5,0,5,9,1270,800,1910,0
"102","20141027T000000",555000,3,2,1980,3478,1.5,0,4,7,1440,540,1929,0
"103","20141212T000000",699950,3,2.25,2190,107593,2,0,4,8,2190,0,1983,0
"104","20141007T000000",1090000,3,2.5,2920,8113,2,0,3,8,2920,0,1950,2010
"105","20140924T000000",290000,3,1,1210,33919,1,0,3,7,1210,0,1954,0
"106","20150402T000000",375000,3,2.5,2340,10005,1,0,4,8,1460,880,1978,0
"107","20140523T000000",460000,3,1,1670,4005,1.5,0,4,7,1170,500,1939,0
"108","20140723T000000",188500,2,1.75,1240,2493,1,0,4,8,1240,0,1985,0
"109","20150305T000000",680000,4,2.5,3140,28037,2,0,4,10,3140,0,1991,0
"110","20140827T000000",470000,5,1.75,2030,12342,2,0,4,7,2030,0,1942,0
"111","20140725T000000",597750,4,2.5,2310,9624,2,0,3,8,2310,0,1984,0
"112","20150304T000000",570000,3,1.75,1260,3328,1,0,5,6,700,560,1905,0
"113","20140916T000000",272500,3,1.75,1540,12600,1,0,4,7,1160,380,1980,0
"114","20141124T000000",329950,3,1.75,2080,5969,1,0,3,7,1080,1000,1971,0
"115","20141028T000000",480000,4,2.5,3230,16171,2,0,3,9,2520,710,2001,0
"116","20141121T000000",740500,3,3.5,4380,6350,2,0,3,8,2780,1600,1900,1999
"117","20140626T000000",518500,3,3.5,1590,1102,3,0,3,8,1590,0,2010,0
"118","20140623T000000",205425,2,1,880,6780,1,0,4,6,880,0,1945,0
"119","20150108T000000",171800,4,2,1570,9600,1,0,3,6,1570,0,1950,0
"120","20150511T000000",535000,4,1,1610,2982,1.5,0,4,7,1610,0,1925,0
"121","20150102T000000",660000,3,2.5,2400,6474,1,0,3,8,1560,840,1964,0
"122","20141119T000000",391500,3,2,1450,9132,1,0,3,7,1450,0,NA,0
"123","20150406T000000",395000,2,1,770,6000,1,0,3,6,770,0,1953,0
"124","20141104T000000",445000,4,1.75,2100,4400,1.5,0,5,7,1720,380,1924,0
"125","20140618T000000",770000,3,2.25,2910,10204,2,0,3,9,2910,0,1990,0
"126","20150302T000000",1450000,4,2.75,2750,17789,1.5,0,3,8,1980,770,1914,1992
"127","20140717T000000",445000,3,2.25,2100,8201,1,0,3,8,1620,480,1967,0
"128","20140717T000000",260000,4,2.25,2160,8811,1,0,3,8,1360,800,1978,0
"129","20140613T000000",822500,5,3.5,2320,4960,2,0,5,7,1720,600,1926,0
"130","20150406T000000",430000,4,2.5,2070,4310,2,0,3,7,2070,0,2004,0
"131","20150105T000000",212000,3,1.75,1060,7875,1,0,4,7,1060,0,1986,0
"132","20150428T000000",660500,4,2.25,2010,9603,1,0,3,8,1440,570,1986,0
"133","20140612T000000",784000,3,3.5,3950,111078,1.5,0,3,9,2460,1490,1989,0
"134","20140512T000000",453246,3,2.5,2010,2287,2,0,3,8,1390,620,2014,0
"135","20150126T000000",675000,4,3.5,2140,2278,3,0,3,9,2140,0,2005,0
"136","20140813T000000",199000,3,1.75,1320,17390,1,0,4,7,1320,0,1956,0
"137","20140805T000000",220000,4,1.75,2020,7840,1,0,3,7,1010,1010,1968,0
"138","20140529T000000",452000,4,2.25,2590,10002,1,0,4,8,1340,1250,1968,0
"139","20140707T000000",382500,2,1,1190,4440,1,0,3,6,1190,0,1981,0
"140","20140507T000000",519950,3,2.25,1170,1249,3,0,3,8,1170,0,2014,0
"141","20140627T000000",665000,2,1,1110,3200,1,0,3,7,1110,0,1925,0
"142","20140708T000000",527700,5,2.5,2820,9375,1,0,4,8,1550,1270,1968,0
"143","20150508T000000",205000,3,1,1610,8579,1,0,4,7,1010,600,1962,0
"144","20150415T000000",420000,3,1,1060,8097,1,0,4,7,940,120,1923,0
"145","20150227T000000",5e+05,4,2.25,2030,8517,1,0,4,8,1380,650,1961,0
"146","20141203T000000",921500,4,2.5,3670,315374,2,0,4,9,3670,0,1994,0
"147","20140625T000000",890000,4,1,2550,4000,2,0,3,8,2370,180,1905,0
"148","20140806T000000",430000,2,2.5,2420,60984,2,0,3,7,2420,0,2007,0
"149","20141030T000000",258000,5,2,2260,12500,1,0,4,8,1130,1130,1960,0
"150","20141104T000000",511000,3,1,NA,3455,1,0,3,7,980,450,1947,0
"151","20140820T000000",532170,3,2,1360,3090,2,0,NA,8,1360,0,1990,0
"152","20150409T000000",560000,3,1,1110,5000,1.5,0,3,7,1110,0,1947,0
"153","20150331T000000",282950,3,1,1250,8200,1,0,4,7,1250,0,1954,0
"154","20150401T000000",2250000,4,3.25,5180,19850,2,0,3,12,3540,1640,2006,0
"155","20140516T000000",350000,1,1,700,5100,1,0,3,7,700,0,1942,0
"156","20140728T000000",215000,3,1,1180,7669,1,0,4,7,1180,0,1967,0
"157","20141120T000000",650000,5,3.5,3960,25245,2,0,3,9,2500,1460,1996,0
"158","20140807T000000",320000,4,2.75,2640,7500,1,0,3,8,1620,1020,1967,0
"159","20141113T000000",247000,3,2,1270,7198,1.5,0,3,7,1270,0,1916,2013
"160","20141003T000000",320000,4,1.75,1760,11180,1,0,4,8,1760,0,1968,0
"161","20140507T000000",255000,5,2.25,2060,8632,1,0,3,7,1030,1030,1962,0
"162","20150309T000000",438000,3,1.75,1780,9660,1,0,3,7,1780,0,1962,0
"163","20150304T000000",9e+05,3,2.5,3400,16603,2,0,3,10,3400,0,2000,0
"164","20140620T000000",441000,3,2.75,1910,7280,1,0,3,7,1160,750,1979,0
"165","20140812T000000",420000,3,2,2020,38332,1,0,4,7,1010,1010,1975,0
"166","20141208T000000",370000,3,1.75,1580,7000,1,0,3,7,1180,400,1976,0
"167","20150219T000000",269950,2,1.75,1340,7250,1,0,5,5,700,640,1949,0
"168","20150324T000000",807100,4,2.5,2680,4499,2,0,3,9,2680,0,1999,0
"169","20140605T000000",653000,3,2.5,2680,9750,1,0,4,8,1610,1070,1979,0
"170","20140611T000000",371500,3,2,1370,8336,1,0,5,7,1370,0,1964,0
"171","20150316T000000",284000,3,1.75,1560,21000,1,0,3,7,1560,0,1954,0
"172","20150102T000000",272000,3,1.75,2160,7140,1,0,4,7,1670,490,1978,0
"173","20140502T000000",313000,3,1.5,1340,7912,1.5,0,3,7,1340,0,1955,0
